entrez_id,logFC,PValue
9908,-1.398024814,4.35E-29
9693,-2.129472766,4.43E-29
26289,-4.656051215,5.51E-29
11076,-4.26367845,6.73E-29
54557,-1.879753611,7.05E-29
10858,-3.197800601,7.76E-29
79605,-2.983411329,8.06E-29
129049,-3.894529665,8.16E-29
85465,-1.573229268,8.48E-29
503542,-3.075991572,9.20E-29
9900,-2.258516104,9.86E-29
54332,-2.291657277,1.02E-28
79739,-2.741379114,1.12E-28
373,-1.623079336,1.16E-28
5775,-1.954188791,1.29E-28
22891,-3.21555913,1.60E-28
123606,-2.401061205,1.61E-28
55966,-4.309016094,1.62E-28
2912,-4.045812001,1.73E-28
283985,-5.345672626,1.80E-28
22876,-2.925068695,1.85E-28
57524,-3.614776199,1.88E-28
57644,-3.558025599,1.89E-28
777,-4.199573643,1.97E-28
3423,-2.655719471,2.09E-28
320,-2.964212985,2.11E-28
127262,-2.255471298,2.54E-28
7433,-3.604609245,3.30E-28
6853,-4.395969724,3.41E-28
4644,-2.667926594,3.55E-28
57528,-4.362953704,3.78E-28
4674,-3.67638977,4.02E-28
55922,-1.384685147,4.08E-28
106456574,-5.618518764,4.10E-28
6534,-5.485980363,4.18E-28
57611,-4.545001132,5.23E-28
8774,-1.433050113,5.45E-28
9615,-5.014334942,5.51E-28
5522,-4.49228539,5.68E-28
55182,-1.429894354,6.01E-28
121256,-5.459472813,6.58E-28
50944,-4.479659733,7.83E-28
85458,-2.140503718,8.53E-28
1395,-4.462675911,8.74E-28
64137,-3.555175307,8.81E-28
23105,-4.604002268,9.34E-28
3800,-3.099061134,9.61E-28
114800,-4.097978842,9.92E-28
54715,-5.011855573,1.02E-27
9856,-3.732139192,1.06E-27
23149,-3.068521923,1.18E-27
10888,-4.820724222,1.20E-27
26960,-2.895956172,1.32E-27
2558,-5.403260166,1.54E-27
10486,-2.435889562,1.60E-27
3356,-4.587361661,1.70E-27
5274,-3.912881678,1.81E-27
23229,-2.221974259,1.89E-27
11033,-3.589664658,1.89E-27
1128,-4.953078942,1.97E-27
1812,-4.785875091,1.98E-27
399668,-3.12469119,2.04E-27
23259,-1.514820235,2.16E-27
526,-1.762994813,2.31E-27
153364,-1.755266513,2.60E-27
29767,-2.54665432,2.98E-27
2561,-4.936799894,3.01E-27
5662,-3.852184919,4.20E-27
9783,-3.702781227,4.87E-27
138649,-2.284250916,5.00E-27
3358,-5.416523353,5.66E-27
26999,-2.611433794,6.12E-27
57614,-1.397604811,6.25E-27
728378,6.764440644,6.52E-27
376267,-2.658084059,6.55E-27
85352,-4.78961328,6.88E-27
10716,-4.720015413,7.50E-27
1007,-5.285731936,8.05E-27
80212,-1.691600931,9.58E-27
9066,-4.095546747,9.93E-27
146713,-4.917554863,1.18E-26
345222,-2.83336196,1.21E-26
6861,-4.196786037,1.29E-26
286205,-2.090701227,1.29E-26
163255,-2.309419613,1.33E-26
2903,-4.666137865,1.36E-26
55275,-1.688838874,1.43E-26
9143,-4.190546058,1.44E-26
282973,-3.626294615,1.55E-26
65078,-3.474439828,1.58E-26
79641,-2.241656793,1.77E-26
400120,-5.195132418,1.82E-26
143098,-4.046125507,1.96E-26
10411,-2.581458327,1.98E-26
23542,-3.20842056,2.18E-26
105373377,-5.995526488,2.22E-26
11275,-2.24134109,2.32E-26
2051,-3.873974084,2.63E-26
57504,-1.469393242,3.43E-26
3131,-3.577073779,3.63E-26
23162,-2.698679614,4.08E-26
115827,-4.736234872,4.20E-26
57465,-1.897702765,4.33E-26
255275,-3.19827925,4.45E-26
128611,-4.309013846,4.82E-26
23518,-1.77425738,5.16E-26
9362,-4.863196163,5.28E-26
66004,-2.892016323,5.46E-26
4293,-3.820145383,6.11E-26
100506527,-7.068886319,6.14E-26
273,-3.459669138,6.21E-26
5801,-4.300852513,6.22E-26
134353,-1.909684491,6.45E-26
283521,-4.328052449,7.51E-26
85358,-2.729647257,7.69E-26
56134,-3.025773228,1.03E-25
123920,3.215867771,1.06E-25
51440,-4.330782768,1.14E-25
6616,-4.445287749,1.14E-25
55907,-1.602163756,1.18E-25
26468,-3.717042688,1.32E-25
1006,-4.198721509,1.42E-25
6241,7.2994589,1.45E-25
1408,-2.200925729,1.47E-25
257000,-3.335485995,1.52E-25
9215,-2.515734968,1.61E-25
57476,-2.741545231,1.67E-25
266722,-4.512765712,1.75E-25
2911,-4.35352069,1.79E-25
79699,-1.357158793,1.82E-25
390616,-4.91310832,2.02E-25
22884,-1.851827845,2.04E-25
83698,-4.432587157,2.05E-25
5071,-2.111233356,2.06E-25
2913,-3.729381763,2.14E-25
1795,-3.242122423,2.22E-25
57496,-2.236936402,2.25E-25
22999,-4.153879899,2.77E-25
27020,-1.894739085,2.97E-25
80331,-1.788852091,3.58E-25
79712,-1.227256167,3.82E-25
399947,-4.409642025,4.12E-25
9671,-5.027509459,4.38E-25
203197,-1.874826466,4.67E-25
285800,-3.392737296,5.43E-25
20,-3.020815766,5.63E-25
491,-3.448783982,5.92E-25
729082,-1.659744556,6.96E-25
93185,-2.069254295,8.09E-25
132200,-2.578163597,9.26E-25
9478,-4.182121267,9.74E-25
887,-4.887123312,1.09E-24
85442,-3.463831726,1.12E-24
4884,-4.537138645,1.16E-24
10361,-4.090693696,1.25E-24
10079,-2.369380852,1.33E-24
10150,-2.009233814,1.34E-24
219749,-1.945573343,1.37E-24
161931,-4.051256599,1.41E-24
81553,-1.952976777,1.49E-24
408,-2.726074238,1.59E-24
54899,-1.848589332,1.60E-24
123624,-5.245857613,1.89E-24
114569,-5.168348015,1.96E-24
23348,-2.57099374,1.96E-24
56675,-3.486012174,2.09E-24
4209,-2.016520455,2.14E-24
11128,-1.832097833,2.24E-24
5128,-1.491941857,2.31E-24
348980,-5.139747913,2.33E-24
55503,-4.147568894,2.38E-24
26507,-4.585555627,2.50E-24
9926,-1.872844643,2.53E-24
11155,-3.941749256,2.86E-24
23732,-4.136617009,2.99E-24
103344931,-2.292484085,3.08E-24
283987,-2.630904832,3.10E-24
55030,-1.550761935,3.27E-24
152789,-3.998823521,3.77E-24
253314,-5.030009964,3.82E-24
284352,-1.666492906,4.05E-24
51555,-4.177938992,4.61E-24
801,-2.033650484,4.93E-24
5733,-4.622063863,5.07E-24
730094,-1.420525704,5.14E-24
285150,-4.13006745,5.50E-24
527,-1.672169654,5.61E-24
27124,-2.816644803,5.66E-24
54014,-1.52614635,5.86E-24
80790,-2.121004691,6.17E-24
440073,-4.328279342,6.21E-24
3300,-1.684042988,6.21E-24
6710,-4.03170016,6.59E-24
4142,-5.269656833,7.01E-24
84446,-2.50881909,8.56E-24
863,-3.147965031,8.81E-24
83714,-2.411861505,9.27E-24
7432,-4.352418203,9.27E-24
93426,-4.701218201,9.45E-24
114900,-3.572015671,9.47E-24
3632,-1.919909601,9.54E-24
3748,-2.957637172,1.19E-23
9771,-3.196514343,1.25E-23
51560,-2.595085438,1.26E-23
481,-2.880508496,1.29E-23
9778,-1.543270379,1.30E-23
118813,-1.485859416,1.45E-23
2563,-3.998032281,1.65E-23
2016,-4.566149568,1.81E-23
651746,-3.134678897,1.81E-23
80725,-3.609223707,1.81E-23
55799,-3.724307041,2.06E-23
4008,-2.462739468,2.07E-23
123591,-2.576563254,2.08E-23
9625,-3.793057378,2.14E-23
55680,-1.53389398,2.20E-23
389813,-2.461082229,2.28E-23
5999,-4.270811615,2.32E-23
1017,3.555341261,2.39E-23
23025,-3.871692447,2.40E-23
6870,-4.35128358,2.51E-23
9053,-3.026985896,2.62E-23
5305,-2.897007906,2.81E-23
3749,-2.580473572,2.81E-23
80262,-1.315892208,3.41E-23
285175,-2.975620469,3.42E-23
5865,-3.904807243,3.53E-23
10368,-5.334102895,3.67E-23
400451,-2.298316248,3.81E-23
146691,-1.974854289,3.95E-23
79012,-4.395244665,4.17E-23
56853,-4.536133277,4.39E-23
101929237,-5.087492757,4.50E-23
257194,-4.012884075,4.54E-23
933,-4.061863773,4.90E-23
283624,-2.787658051,5.06E-23
9811,-2.189210753,5.12E-23
23057,-3.797008195,5.20E-23
2915,-4.79842346,5.40E-23
29944,-3.997381906,5.43E-23
441151,-3.935301121,5.49E-23
643965,-4.5049428,5.75E-23
23108,-3.349295805,5.77E-23
57497,-4.347820663,5.96E-23
23040,-4.903844949,6.74E-23
9762,-2.42153506,7.81E-23
7447,-4.790469119,7.93E-23
51701,-1.82655039,7.94E-23
2773,1.847267802,8.08E-23
101927590,-4.396457049,8.25E-23
57582,-4.558131911,9.04E-23
55212,-1.304488689,9.30E-23
145773,-3.017608712,9.84E-23
401145,-3.708573967,1.04E-22
5567,-1.88507589,1.04E-22
654429,-4.982878332,1.07E-22
118427,-4.598439598,1.08E-22
23507,-2.316800499,1.08E-22
83699,-2.514631837,1.12E-22
8999,-3.884774291,1.15E-22
