entrez_id,symbol,logFC,logCPM,LR,p_value,FDR
54677,CROT,0.465120782,4.58824537,1.729564716,0.188466497,0.365775097
440584,SLC2A1-AS1,-0.634208814,2.581402768,1.728905011,0.188550798,0.36588373
63874,ABHD4,0.511665751,6.265187348,1.727851865,0.188685467,0.366090054
57214,CEMIP,-0.643702211,3.55963106,1.726632855,0.188841485,0.366337732
81615,TMEM163,-0.798867807,4.136087376,1.725210404,0.189023731,0.366636208
408050,NOMO3,-0.509716145,5.206277189,1.724176702,0.189156298,0.366798713
93210,PGAP3,0.416909148,5.129132087,1.724053984,0.189172043,0.366798713
9467,SH3BP5,-0.516373248,6.200074469,1.723705194,0.189216803,0.366798713
10020,GNE,0.4962956,4.602249327,1.723671657,0.189221107,0.366798713
4603,MYBL1,-0.598091381,2.369507523,1.72268334,0.189348006,0.366947236
10015,PDCD6IP,0.41785371,5.763991986,1.722632421,0.189354547,0.366947236
7508,XPC,0.334485493,6.648803783,1.721500705,0.189499986,0.367137376
1674,DES,1.032873207,3.971887596,1.721426596,0.189509514,0.367137376
387841,RPL13AP20,0.798441242,0.796960239,1.720781933,0.189592424,0.367212634
100144748,KLLN,-0.658714271,1.552909331,1.720348228,0.189648227,0.367212634
55196,RESF1,-0.485581814,4.486724282,1.720220124,0.189664713,0.367212634
5573,PRKAR1A,-0.415953287,8.417250607,1.720083084,0.189682351,0.367212634
493856,CISD2,-0.349835127,5.511820073,1.71978793,0.189720345,0.367212634
388403,YPEL2,-0.560104747,2.252588304,1.719623529,0.189741512,0.367212634
63875,MRPL17,0.407917955,5.652136107,1.719275911,0.189786278,0.367212634
3105,HLA-A,1.664986616,5.204085379,1.719182082,0.189798363,0.367212634
2020,EN2,1.045107984,2.292523193,1.719136467,0.189804239,0.367212634
7917,BAG6,0.406963617,6.762970971,1.7187771,0.189850535,0.367247194
57679,ALS2,-0.348826706,5.398892449,1.718499227,0.189886342,0.367261455
132321,C4orf33,-0.846652219,2.616237568,1.717372045,0.190031672,0.367455732
54891,INO80D,0.313957202,6.105770259,1.717278885,0.190043689,0.367455732
7155,TOP2B,-0.333849072,6.655329541,1.715741632,0.190242115,0.367784336
51326,ARL17A,-0.977065758,1.252585581,1.714299285,0.190428509,0.368049277
57711,ZNF529,-0.337226579,5.008203154,1.714240192,0.19043615,0.368049277
57536,KIAA1328,-0.405606709,4.890594278,1.713867,0.190484415,0.368087478
26284,ERAL1,0.310730713,5.796796791,1.713637943,0.190514046,0.368089665
80204,FBXO11,-0.320104102,6.291691541,1.712477133,0.19066429,0.368324854
83878,USHBP1,-0.606237658,2.157818694,1.71149312,0.19079176,0.368355252
50999,TMED5,0.572526588,6.886217577,1.711334955,0.190812258,0.368355252
4919,ROR1,0.571094119,2.750022777,1.711213638,0.190827983,0.368355252
4690,NCK1,0.40033454,6.164770571,1.711136631,0.190837965,0.368355252
79891,ZNF671,0.329004487,4.892820851,1.711006808,0.190854794,0.368355252
80128,TRIM46,-0.705832942,3.070057679,1.710835689,0.19087698,0.368355252
54700,RRN3,0.348243859,5.753954376,1.71081501,0.190879661,0.368355252
51393,TRPV2,0.633641207,1.914449194,1.710532477,0.190916299,0.368370917
9525,VPS4B,-0.431994147,4.948764843,1.709803368,0.191010884,0.36849837
57590,WDFY1,0.294906326,5.455500598,1.708492941,0.19118102,0.368771514
54963,UCKL1,0.423379683,5.538610377,1.708063903,0.191236762,0.368823954
55738,ARFGAP1,0.531778697,6.254293322,1.707751866,0.191277314,0.368847088
10426,TUBGCP3,-0.365580238,5.800981565,1.707371076,0.191326815,0.368854062
6666,SOX12,0.554061076,5.552800926,1.707065609,0.191366536,0.368854062
9023,CH25H,-0.814610124,4.731545131,1.707065076,0.191366605,0.368854062
83479,DDX59,0.32774858,5.096458579,1.706110291,0.191490819,0.369038409
79631,EFL1,0.307407474,5.90639033,1.705383398,0.191585448,0.369165694
89910,UBE3B,-0.315295792,5.038840006,1.704427023,0.191710035,0.369350659
51465,UBE2J1,0.356917945,5.994781613,1.70419148,0.191740734,0.369354708
25759,SHC2,0.638669532,5.152626969,1.703326709,0.19185349,0.369476171
3082,HGF,-0.998743174,2.777140239,1.703078062,0.191885925,0.369476171
9450,LY86,-0.760635891,5.221752345,1.703049847,0.191889606,0.369476171
272,AMPD3,-0.491017419,5.926936961,1.699994725,0.192288667,0.370189361
80820,EEPD1,0.485304919,5.719946871,1.699392348,0.192367464,0.370285867
51633,OTUD6B,-0.526523957,4.583937117,1.699148428,0.192399382,0.37029212
100505876,CEBPZOS,-0.578405953,2.318332029,1.698389564,0.192498722,0.370428112
132949,AASDH,-0.484683403,1.899004187,1.698004936,0.192549095,0.370469851
1524,CX3CR1,-0.980931489,1.625951695,1.697569108,0.192606192,0.370524512
610,HCN2,-1.003812534,4.7624599,1.697107387,0.192666703,0.370585723
642,BLMH,0.354850919,5.061259005,1.696447161,0.192753267,0.370697022
3784,KCNQ1,0.528717572,2.41773292,1.695808331,0.19283707,0.370802976
11182,SLC2A6,-0.719103654,3.89618542,1.695551617,0.192870758,0.370812549
55803,ADAP2,0.607812354,4.276180625,1.694786999,0.192971138,0.370905865
1959,EGR2,-0.835587691,5.418731874,1.69459404,0.192996479,0.370905865
54734,RAB39A,0.524318317,3.28094189,1.694525784,0.193005444,0.370905865
11267,SNF8,0.358025208,6.737270546,1.693986151,0.193076339,0.370986908
51559,NT5DC3,-0.596598169,4.881060946,1.693392627,0.193154349,0.371081597
1948,EFNB2,0.640199018,3.888937819,1.69258762,0.193260215,0.371229764
57461,ISY1,0.569891778,2.122972055,1.691430661,0.193412484,0.37146701
9852,EPM2AIP1,-0.465858502,2.977176927,1.690971587,0.193472942,0.37152788
51313,GASK1B,-0.427421689,6.801265614,1.690153373,0.193580752,0.371679649
128866,CHMP4B,0.319513527,8.062174904,1.688435255,0.193807365,0.372059443
84271,POLDIP3,0.37895237,5.604170933,1.688174175,0.193841828,0.3720703
80110,ZNF614,0.455166315,3.783895221,1.687361763,0.193949112,0.372220911
65250,CPLANE1,-0.331503675,5.895728738,1.687142752,0.193978046,0.372221132
2130,EWSR1,0.381582026,8.331231421,1.686175458,0.194105896,0.372389795
10261,IGSF6,-0.755042128,3.5328342,1.686041529,0.194123606,0.372389795
284371,ZNF841,0.347295796,6.786778723,1.684989851,0.194262736,0.372601351
133383,SETD9,-0.67334651,1.641032011,1.68438879,0.194342305,0.372698621
80235,PIGZ,-0.911204057,1.038256043,1.68388111,0.194409542,0.372772215
653820,FAM72B,0.884468078,1.324987774,1.683369086,0.194477381,0.372846943
367,AR,1.038829941,1.812495731,1.681711785,0.194697152,0.373212884
200931,SLC51A,0.36436244,5.848558916,1.681436496,0.194733685,0.373227523
57121,LPAR5,-0.96866897,2.761522959,1.68037683,0.194874388,0.37344178
7203,CCT3,0.310145275,7.052603235,1.679550288,0.194984219,0.373596822
64333,ARHGAP9,0.510792124,3.981749842,1.678743529,0.195091492,0.373746916
7187,TRAF3,-0.336388944,6.153583072,1.678229812,0.195159835,0.373773879
23635,SSBP2,0.299654246,5.872515534,1.678202691,0.195163444,0.373773879
162239,ZFP1,-0.372869273,4.495745415,1.67767047,0.19523428,0.373854108
23172,ABRAXAS2,-0.328827513,4.372892352,1.676389144,0.195404942,0.374125442
