entrez_id,logFC,PValue
9840,-5.567640154,1.25E-06
6854,-5.193307289,1.27E-06
140767,-3.774172811,1.31E-06
26999,-2.265206427,1.32E-06
55297,-2.706901976,1.33E-06
57185,-2.221597657,1.35E-06
10690,-2.727694995,1.36E-06
120,-2.297408461,1.36E-06
774,-4.542827168,1.37E-06
9693,-1.530849414,1.39E-06
22911,-1.420004532,1.45E-06
196394,-2.120528274,1.48E-06
29767,-2.044269087,1.51E-06
10771,-1.411672199,1.53E-06
310,-1.171517662,1.53E-06
9819,-2.264380637,1.53E-06
9185,-3.193546918,1.54E-06
89795,-2.831261243,1.54E-06
56675,-3.251744987,1.57E-06
7277,-3.118701423,1.59E-06
2555,-5.226083722,1.60E-06
2123,-3.095388446,1.63E-06
23500,-2.80643998,1.63E-06
1393,-3.614057467,1.63E-06
221692,-2.504945183,1.64E-06
54511,-4.97320114,1.65E-06
23446,-2.00034171,1.66E-06
1265,2.017136397,1.68E-06
9053,-2.363816596,1.68E-06
83876,-1.92908728,1.72E-06
118672,-1.525086506,1.77E-06
8437,-3.890112352,1.82E-06
54443,-2.637657703,1.85E-06
3486,3.002308845,1.89E-06
6853,-3.939385358,1.92E-06
222166,-3.11456492,1.92E-06
51735,-2.327462354,1.95E-06
25924,-2.351824225,2.03E-06
11069,-2.869800808,2.03E-06
2917,-3.884489645,2.06E-06
6855,-3.081279876,2.12E-06
728215,-3.853355468,2.13E-06
2913,-3.848488754,2.23E-06
345557,-3.89088689,2.38E-06
79012,-3.567597028,2.41E-06
6804,-3.71324195,2.42E-06
5063,-3.307682216,2.43E-06
54462,-1.320539083,2.51E-06
9211,-2.851029839,2.56E-06
64506,-3.007568752,2.56E-06
135924,-2.641967079,2.57E-06
36,-1.98327671,2.62E-06
57554,-4.66367131,2.66E-06
91775,-1.907178533,2.67E-06
90249,-3.577034787,2.69E-06
577,-2.727490087,2.74E-06
54847,-3.001784143,2.76E-06
8945,-1.425651514,2.89E-06
81552,2.536002684,2.91E-06
27445,-3.261958289,2.93E-06
1795,-2.572514307,3.14E-06
259286,-2.725163008,3.14E-06
22875,-3.152259842,3.21E-06
1124,-2.374484685,3.28E-06
4905,-2.00551031,3.33E-06
83875,-2.204567947,3.34E-06
4642,-2.380622489,3.44E-06
221294,-2.485284926,3.45E-06
118924,-1.712390563,3.49E-06
548596,-4.957660051,3.50E-06
492,-4.325691006,3.54E-06
23112,-3.255203672,3.58E-06
146206,-3.89383211,3.64E-06
